%time Ibatt SOC Vbatt
0 0 0.1 191.577824
1 0 0.1 191.577824
2 0 0.1 191.577824
3 -9.44383467226 0.100012859252 191.584710134
4 -8.41947871035 0.100024323684 191.58612719
5 -6.67847417532 0.100033417467 191.586786832
6 -6.09486884566 0.10004171658 191.587891339
7 -7.63525188703 0.100052113165 191.590410572
8 -8.83102839824 0.100064137986 191.593031197
9 -8.80876227148 0.100076132488 191.595037459
10 -7.79818721989 0.100086750934 191.596317921
11 -6.57040748212 0.100095697568 191.597208478
12 -6.71185649627 0.100104836806 191.598815898
13 -7.72449837105 0.100115354914 191.601090588
14 -9.19314505491 0.100127872813 191.603929256
15 -8.90028130368 0.100139991932 191.605819879
16 -7.69632324217 0.100150471675 191.6069792
17 -7.01775516739 0.100160027442 191.608245766
18 -7.35138788509 0.100170037502 191.610094611
19 -8.51267607493 0.100181628836 191.612622782
20 -8.94267439295 0.10019380568 191.614883439
21 -7.31471319694 0.100203765802 191.615742531
22 -6.8159546359 0.100213046786 191.617051996
23 -6.72332969052 0.100222201646 191.618543201
24 -7.9455265615 0.100233020719 191.620971134
25 -8.0971393698 0.100244046235 191.622898239
26 -7.91928004661 0.100254829569 191.624619747
27 -7.88502159542 0.100265566254 191.626405029
28 -7.52426735043 0.100275811716 191.627944419
29 -7.03253986609 0.100285387614 191.629305772
30 -6.68333591612 0.100294488017 191.630658438
31 -8.09083626157 0.100305504951 191.63321091
32 -8.55482528577 0.100317153678 191.635397425
33 -7.72448007664 0.100327671761 191.636746868
34 -7.16010897289 0.100337421365 191.638100205
35 -7.2338862453 0.100347271428 191.639789306
36 -7.79761264838 0.100357889092 191.641851954
37 -8.23778613018 0.100369106121 191.643953146
38 -7.57848609136 0.100379425411 191.645353862
39 -7.14675067435 0.100389156825 191.646769621
40 -6.51765799392 0.100398031632 191.647942939
41 -7.26198009456 0.100407919949 191.649972724
42 -8.04667848166 0.100418876755 191.652201622
43 -8.11031721692 0.100429920215 191.65408431
44 -8.05038332761 0.100440882066 191.655891333
45 -7.19441892135 0.100450678388 191.65710485
46 -7.41653893001 0.100460777161 191.658907921
47 -7.50276184637 0.10047099334 191.66066254
48 -7.98184059909 0.10048186186 191.662722682
