%time Wind Power_wind
0.174 10.45141 7817.1872671
0.175 10.45141 7818.21220286
0.176 10.45141 7819.29400749
0.177 10.45141 7820.43179602
0.178 10.45141 7821.62462023
0.179 10.45141 7822.87146987
0.18 10.45141 7824.17127407
0.181 10.45141 7825.52290262
0.182 10.45141 7826.92516749
0.183 10.45141 7828.37682424
0.184 10.45141 7829.87657359
0.185 10.45141 7831.42306292
0.186 10.45141 7833.01488798
0.187 10.45141 7834.65059449
0.188 10.45141 7836.32867987
0.189 10.45141 7838.04759504
0.19 10.45141 7839.80574619
0.191 10.45141 7841.60149667
0.192 10.45141 7843.43316889
0.193 10.45141 7845.2990463
0.194 10.45141 7847.19737538
0.195 10.45141 7849.12636767
0.196 10.45141 7851.08420193
0.197 10.45141 7853.06902623
0.198 10.45141 7855.07896017
0.199 10.45141 7857.11209709
0.2 10.45141 7859.16650633
0.201 10.45141 7861.2402356
0.202 10.45141 7863.33131325
0.203 10.45141 7865.43775069
0.204 10.45141 7867.55754482
0.205 10.45141 7869.68868045
0.206 10.45141 7871.82913278
0.207 10.45141 7873.9768699
0.208 10.45141 7876.12985531
0.209 10.45141 7878.28605048
0.21 10.45141 7880.44341738
0.211 10.45141 7882.59992105
0.212 10.45141 7884.75353222
0.213 10.45141 7886.90222985
0.214 10.45141 7889.04400373
0.215 10.45141 7891.17685707
0.216 10.45141 7893.29880909
0.217 10.45141 7895.40789756
0.218 10.45141 7897.50218137
0.219 10.45141 7899.57974307
0.22 10.45141 7901.63869138
0.221 10.45141 7903.67716367
0.222 10.45141 7905.69332841
0.223 10.45141 7907.68538758
0.224 10.45141 7909.65157907
0.225 10.45141 7911.590179
0.226 10.45141 7913.49950397
0.227 10.45141 7915.37791335
0.228 10.45141 7917.22381137
0.229 10.45141 7919.03564928
0.23 10.45141 7920.81192737
0.231 10.45141 7922.55119694
0.232 10.45141 7924.25206218
0.233 10.45141 7925.913182
0.234 10.45141 7927.53327172
0.235 10.45141 7929.11110478
0.236 10.45141 7930.64551422
0.237 10.45141 7932.1353942
0.238 10.45141 7933.57970132
0.239 10.45141 7934.97745591
0.24 10.45141 7936.32774319
0.241 10.45141 7937.62971431
0.242 10.45141 7938.88258734
0.243 10.45141 7940.08564807
0.244 10.45141 7941.23825079
0.245 10.45141 7942.33981888
0.246 10.45141 7943.38984534
0.247 10.45141 7944.38789318
0.248 10.45141 7945.33359573
0.249 10.45141 7946.22665675
0.25 10.45141 7947.06685057
0.251 10.45141 7947.85402194
0.252 10.45141 7948.58808593
0.253 10.45141 7949.26902762
0.254 10.45141 7949.8969017
0.255 10.45141 7950.47183195
0.256 10.45141 7950.99401064
0.257 10.45141 7951.46369779
0.258 10.45141 7951.88122037
0.259 10.45141 7952.24697131
0.26 10.45141 7952.56140851
0.261 10.45141 7952.82505367
0.262 10.45141 7953.03849111
0.263 10.45141 7953.20236637
0.264 10.45141 7953.31738488
0.265 10.45141 7953.38431039
0.266 10.45141 7953.40396344
0.267 10.45141 7953.37721967
0.268 10.45141 7953.3050081
0.269 10.45141 7953.18830932
0.27 10.45141 7953.02815364
0.271 10.45141 7952.82561909
0.272 10.45141 7952.58182954
0.273 10.45141 7952.29795254
0.274 10.45141 7951.97519732
0.275 10.45141 7951.61481258
0.276 10.45141 7951.21808436
0.277 10.45141 7950.78633383
0.278 10.45141 7950.32091499
0.279 10.45141 7949.8232125
0.28 10.45141 7949.29463927
0.281 10.45141 7948.73663427
0.282 10.45141 7948.15066011
0.283 10.45141 7947.53820079
0.284 10.45141 7946.90075933
0.285 10.45141 7946.23985544
0.286 10.45141 7945.55702321
0.287 10.45141 7944.85380879
0.288 10.45141 7944.13176807
0.289 10.45141 7943.39246441
0.29 10.45141 7942.6374664
0.291 10.45141 7941.86834554
0.292 10.45141 7941.08667411
0.293 10.45141 7940.29402295
0.294 10.45141 7939.49195931
0.295 10.45141 7938.68204475
0.296 10.45141 7937.86583305
0.297 10.45141 7937.04486822
0.298 10.45141 7936.22068247
0.299 10.45141 7935.39479432
0.3 10.45141 7934.56870669
0.301 10.45141 7933.74390508
0.302 10.45141 7932.92185577
0.303 10.45141 7932.10400415
0.304 10.45141 7931.29177299
0.305 10.45141 7930.48656091
0.306 10.45141 7929.68974075
0.307 10.45141 7928.90265818
0.308 10.45141 7928.12663021
0.309 10.45141 7927.36294385
0.31 10.45141 7926.61285486
0.311 10.45141 7925.87758645
0.312 10.45141 7925.1583282
0.313 10.45141 7924.4562349
0.314 10.45141 7923.77242553
0.315 10.45141 7923.10798232
0.316 10.45141 7922.46394984
0.317 10.45141 7921.84133416
0.318 10.45141 7921.24110208
0.319 10.45141 7920.66418043
0.32 10.45141 7920.11145544
0.321 10.45141 7919.58377216
0.322 10.45141 7919.08193394
0.323 10.45141 7918.606702
0.324 10.45141 7918.15879503
0.325 10.45141 7917.73888886
0.326 10.45141 7917.34761623
0.327 10.45141 7916.98556653
0.328 10.45141 7916.65328572
0.329 10.45141 7916.35127619
0.33 10.45141 7916.07999675
0.331 10.45141 7915.83986266
0.332 10.45141 7915.63124569
0.333 10.45141 7915.45447428
0.334 10.45141 7915.30983371
0.335 10.45141 7915.19756633
0.336 10.45141 7915.11787187
0.337 10.45141 7915.07090774
0.338 10.45141 7915.05678944
0.339 10.45141 7915.07559099
0.34 10.45141 7915.12734539
0.341 10.45141 7915.21204515
0.342 10.45141 7915.32964286
0.343 10.45141 7915.48005175
0.344 10.45141 7915.66314639
0.345 10.45141 7915.87876334
0.346 10.45141 7916.12670187
0.347 10.45141 7916.40672472
0.348 10.45141 7916.71855889
0.349 10.45141 7917.06189648
0.35 10.45141 7917.43639553
0.351 10.45141 7917.8416809
0.352 10.45141 7918.2773452
0.353 10.45141 7918.74294976
0.354 10.45141 7919.23802556
0.355 10.45141 7919.76207426
0.356 10.45141 7920.3145692
0.357 10.45141 7920.89495649
0.358 10.45141 7921.50265604
0.359 10.45141 7922.13706263
0.36 10.45141 7922.7975471
0.361 10.45141 7923.4834574
0.362 10.45141 7924.19411976
0.363 10.45141 7924.92883984
0.364 10.45141 7925.68690391
0.365 10.45141 7926.46758003
0.366 10.45141 7927.27011925
0.367 10.45141 7928.09375678
0.368 10.45141 7928.93771323
0.369 10.45141 7929.80119582
0.37 10.45141 7930.68339958
0.371 10.45141 7931.58350862
0.372 10.45141 7932.50069727
0.373 10.45141 7933.4341314
0.374 10.45141 7934.38296957
0.375 10.45141 7935.34636427
0.376 10.45141 7936.32346315
0.377 10.45141 7937.3134102
0.378 10.45141 7938.31534697
0.379 10.45141 7939.32841376
0.38 10.45141 7940.35175078
0.381 10.45141 7941.38449932
0.382 10.45141 7942.42580293
0.383 10.45141 7943.47480851
0.384 10.45141 7944.53066749
0.385 10.45141 7945.59253686
0.386 10.45141 7946.65958031
0.387 10.45141 7947.73096926
0.388 10.45141 7948.80588391
0.389 10.45141 7949.88351425
0.39 10.45141 7950.96306104
0.391 10.45141 7952.04373678
