%time Wind Power_wind Frd
0 10.034122289 0 2.799606
1 10.034122289 8779.64747024 3.06696333343
2 10.034122289 8788.6143422 3.13040633163
3 10.034122289 8764.66236864 2.94910448479
4 10.034122289 8775.31935599 3.03239949818
5 10.034122289 8783.43857467 3.0922195526
6 10.034122289 8773.18914366 3.01417574505
7 10.034122289 8775.67528131 3.03425585764
8 10.034122289 8780.85501336 3.07296720684
9 10.034122289 8776.99747911 3.04337887221
10 10.034122289 8777.17190477 3.04525261371
11 10.034122289 8780.04923366 3.06693831003
12 10.034122289 8778.9091662 3.05807443213
13 10.034122289 8778.69514658 3.05667912396
14 10.034122289 8780.21367596 3.06819400819
15 10.034122289 8780.11193437 3.06730635946
16 10.034122289 8780.00850002 3.06660877439
17 10.034122289 8780.83086484 3.07287225999
18 10.034122289 8781.06965888 3.07463009509
19 10.034122289 8781.12776302 3.0751016016
20 10.034122289 8781.62492915 3.0788965827
21 10.034122289 8781.94394475 3.08129572968
22 10.034122289 8782.11078228 3.08257196795
23 10.034122289 8782.46503396 3.08527571834
24 10.034122289 8782.78075577 3.08766518176
25 10.034122289 8783.00240198 3.08935107963
26 10.034122289 8783.29465103 3.09157875084
27 10.034122289 8783.58717606 3.09379862082
28 10.034122289 8783.82862706 3.09563338699
29 10.034122289 8784.09136697 3.09763366008
30 10.034122289 8784.35998336 3.09967442915
31 10.034122289 8784.60224886 3.10151528198
32 10.034122289 8784.84699262 3.10337705661
33 10.034122289 8785.09481771 3.10526065381
34 10.034122289 8785.32865397 3.10703762616
35 10.034122289 8785.55868576 3.10878669957
36 10.034122289 8785.78836069 3.11053251121
37 10.034122289 8786.00959609 3.11221384077
38 10.034122289 8786.2253575 3.11385399915
39 10.034122289 8786.4383978 3.11547330823
40 10.034122289 8786.64523219 3.11704521045
41 10.034122289 8786.8463746 3.11857400297
42 10.034122289 8787.0434533 3.1200718597
43 10.034122289 8787.23509965 3.12152827793
44 10.034122289 8787.42116542 3.12294230982
45 10.034122289 8787.60247384 3.12432015907
46 10.034122289 8787.77854212 3.12565808624
47 10.034122289 8787.94913995 3.12695441496
48 10.034122289 8788.11463467 3.12821193161
49 10.034122289 8788.27487805 3.12942947032
50 10.034122289 8788.42969886 3.13060575726
51 10.034122289 8788.57923886 3.13174187537
52 10.034122289 8788.72345996 3.13283751594
53 10.034122289 8788.86225669 3.13389188613
54 10.034122289 8788.99567055 3.13490530703
55 10.034122289 8789.12369196 3.13587769733
56 10.034122289 8789.24625971 3.13680859392
57 10.034122289 8789.36337552 3.13769801364
58 10.034122289 8789.47503321 3.13854590601
59 10.034122289 8789.58119662 3.13935199628
60 10.034122289 8789.68185418 3.1401161987
61 10.034122289 8789.77699777 3.14083845024
62 10.034122289 8789.86660436 3.14151857563
63 10.034122289 8789.95065964 3.14215646715
64 10.034122289 8790.02915391 3.1427520508
65 10.034122289 8790.10207104 3.14330520366
66 10.034122289 8790.16939767 3.14381582481
67 10.034122289 8790.23112389 3.14428383893
68 10.034122289 8790.28723751 3.14470915324
69 10.034122289 8790.33772722 3.14509168217
70 10.034122289 8790.38258398 3.14543135694
71 10.034122289 8790.42179826 3.14572810537
72 10.034122289 8790.45536105 3.14598185898
73 10.034122289 8790.48326474 3.14619256022
74 10.034122289 8790.50550208 3.14636015391
75 10.034122289 8790.52206623 3.14648458844
76 10.034122289 8790.53295142 3.14656581998
77 10.034122289 8790.53815245 3.14660380918
78 10.034122289 8790.53766467 3.14659852083
79 10.034122289 8790.53148424 3.14654992601
80 10.034122289 8790.51960803 3.14645800095
81 10.034122289 8790.50203349 3.14632272654
82 10.034122289 8790.47875882 3.14614408928
83 10.034122289 8790.44978293 3.14592208103
84 10.034122289 8790.41510538 3.1456566986
85 10.034122289 8790.37472642 3.14534794418
86 10.034122289 8790.32864702 3.14499582533
87 10.034122289 8790.27686884 3.14460035473
88 10.034122289 8790.2193942 3.14416155038
89 10.034122289 8790.15622614 3.14367943559
90 10.034122289 8790.0873684 3.14315403893
91 10.034122289 8790.01282541 3.14258539422
92 10.034122289 8789.93260227 3.14197354063
93 10.034122289 8789.8467048 3.14131852257
94 10.034122289 8789.75513952 3.14062038974
95 10.034122289 8789.65791362 3.13987919716
96 10.034122289 8789.55503502 3.13909500512
97 10.034122289 8789.44651229 3.13826787919
98 10.034122289 8789.33235474 3.13739789023
99 10.034122289 8789.21257235 3.13648511439
100 10.034122289 8789.08717579 3.13552963309
101 10.034122289 8788.95617645 3.13453153305
102 10.034122289 8788.81958637 3.13349090625
103 10.034122289 8788.67741833 3.13240784993
104 10.034122289 8788.52968578 3.1312824666
105 10.034122289 8788.37640284 3.13011486403
106 10.034122289 8788.21758437 3.12890515524
107 10.034122289 8788.05324587 3.1276534585
108 10.034122289 8787.88340357 3.12635989732
109 10.034122289 8787.70807434 3.1250246004
110 10.034122289 8787.52727578 3.12364770171
111 10.034122289 8787.34102616 3.12222934039
112 10.034122289 8787.14934443 3.1207696608
113 10.034122289 8786.95225021 3.11926881248
114 10.034122289 8786.74976382 3.11772695014
115 10.034122289 8786.54190626 3.11614423366
116 10.034122289 8786.32869919 3.11452082806
117 10.034122289 8786.11016496 3.11285690351
118 10.034122289 8785.88632657 3.1111526353
119 10.034122289 8785.65720774 3.10940820381
120 10.034122289 8785.4228328 3.10762379453
121 10.034122289 8785.18322679 3.10579959802
122 10.034122289 8784.93841539 3.10393580988
123 10.034122289 8784.68842496 3.10203263078
124 10.034122289 8784.43328252 3.1000902664
125 10.034122289 8784.17301573 3.09810892741
