%time Wind Power_wind
9576 11.8971142628 7723.587596
9577 11.8971142628 7723.58759583
9578 11.8971142628 7723.58759588
9579 11.8971142628 7723.58759609
9580 11.8971142628 7723.58759623
9581 11.8971142628 7723.58759616
9582 11.8971142628 7723.58759597
9583 11.8971142628 7723.58759586
9584 11.8971142628 7723.58759594
9585 11.8971142628 7723.58759611
9586 11.8971142628 7723.58759619
9587 11.8971142628 7723.58759611
9588 11.8971142628 7723.58759596
9589 11.8971142628 7723.5875959
9590 11.8971142628 7723.58759598
9591 11.8971142628 7723.58759611
9592 11.8971142628 7723.58759616
9593 11.8971142628 7723.58759608
9594 11.8971142628 7723.58759596
9595 11.8971142628 7723.58759593
9596 11.8971142628 7723.58759601
9597 11.8971142628 7723.58759611
9598 11.8971142628 7723.58759613
9599 11.8971142628 7723.58759605
9600 11.9070250576 7723.58759597
9601 11.9070250576 7723.58337002
9602 11.9070250576 7723.57201916
9603 11.9070250576 7723.56123322
9604 11.9070250576 7723.55827474
9605 11.9070250576 7723.56252051
9606 11.9070250576 7723.56658367
9607 11.9070250576 7723.56424196
9608 11.9070250576 7723.55660253
9609 11.9070250576 7723.55036776
9610 11.9070250576 7723.55055475
9611 11.9070250576 7723.55548174
9612 11.9070250576 7723.55894548
9613 11.9070250576 7723.5568362
9614 11.9070250576 7723.55113373
9615 11.9070250576 7723.54741883
9616 11.9070250576 7723.54891492
9617 11.9070250576 7723.55337533
9618 11.9070250576 7723.55576554
9619 11.9070250576 7723.55357951
9620 11.9070250576 7723.54918909
9621 11.9070250576 7723.54706093
9622 11.9070250576 7723.54905445
9623 11.9070250576 7723.55272309
9624 11.9070250576 7723.55412008
9625 11.9070250576 7723.55191901
9626 11.9070250576 7723.54856267
9627 11.9070250576 7723.54749546
9628 11.9070250576 7723.54958588
9629 11.9070250576 7723.55243555
9630 11.9070250576 7723.55306062
9631 11.9070250576 7723.55096712
9632 11.9070250576 7723.54846539
9633 11.9070250576 7723.54811089
9634 11.9070250576 7723.55008806
9635 11.9070250576 7723.55220029
9636 11.9070250576 7723.55228055
9637 11.9070250576 7723.55039122
9638 11.9070250576 7723.54859316
9639 11.9070250576 7723.54870104
9640 11.9070250576 7723.55045733
9641 11.9070250576 7723.55194936
9642 11.9070250576 7723.55167717
9643 11.9070250576 7723.55004695
9644 11.9070250576 7723.54881505
9645 11.9070250576 7723.54920163
9646 11.9070250576 7723.55069076
9647 11.9070250576 7723.55168495
9648 11.9070250576 7723.55120978
9649 11.9070250576 7723.54985749
9650 11.9070250576 7723.54906745
9651 11.9070250576 7723.54959976
9652 11.9070250576 7723.55081368
9653 11.9070250576 7723.5514239
9654 11.9070250576 7723.55085516
9655 11.9070250576 7723.54977362
9656 11.9070250576 7723.54931668
9657 11.9070250576 7723.54990166
9658 11.9070250576 7723.55085569
9659 11.9070250576 7723.55118134
9660 11.9070250576 7723.55059466
9661 11.9070250576 7723.54976025
9662 11.9070250576 7723.54954464
9663 11.9070250576 7723.55012045
9664 11.9070250576 7723.55084305
9665 11.9070250576 7723.55096698
9666 11.9070250576 7723.55041117
9667 11.9070250576 7723.54979145
9668 11.9070250576 7723.54974243
9669 11.9070250576 7723.55027108
9670 11.9070250576 7723.55079677
9671 11.9070250576 7723.55078544
9672 11.9070250576 7723.55028888
9673 11.9070250576 7723.54984814
9674 11.9070250576 7723.54990696
9675 11.9070250576 7723.55036807
9676 11.9070250576 7723.55073265
9677 11.9070250576 7723.55063741
9678 11.9070250576 7723.55021363
9679 11.9070250576 7723.54991666
9680 11.9070250576 7723.55003878
9681 11.9070250576 7723.55042445
9682 11.9070250576 7723.55066192
